"Product Code Group Code","Product Code Group Code"
"Common Payment Settings","Common Payment Settings"
"Payment Applicable From","Payment Applicable From"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Prohibited Product Attribute Sets","Prohibited Product Attribute Sets"
"Payment method won't be available if cart contains products with selected attribute sets","Payment method won't be available if cart contains products with selected attribute sets"
"Debug Mode","Debug Mode"
"Address Passed to Digital Buy Modals","Address Passed to Digital Buy Modals"
"Revolving Payment Marketing","Revolving Payment Marketing"
"Header and Footer Links","Header and Footer Links"
"Link CMS Page","Link CMS Page"
"Enable Header Link","Enable Header Link"
"Enable Footer Link","Enable Footer Link"
"Product Pages & Checkout","Product Pages & Checkout"
"Ad Strategy","Ad Strategy"
"Block content strategy, ""Value prop message"" will display selected static block content, ""Monthly payment message"" will calculate monthly payment and display terms based on promo type","Block content strategy, ""Value prop message"" will display selected static block content, ""Monthly payment message"" will calculate monthly payment and display terms based on promo type"
Enabled,Enabled
"Display additional financing price information block on the website","Display additional financing price information block on the website"
"Display Area","Display Area"
"Where pricing information should be displayed","Where pricing information should be displayed"
"Min Amount","Min Amount"
"Minimum product price or purchase amount to display the block","Minimum product price or purchase amount to display the block"
"Static Block","Static Block"
"Which static block to use (referenced by identifier)","Which static block to use (referenced by identifier)"
"Promotion Calculation Type","Promotion Calculation Type"
"Type of the financing offered","Type of the financing offered"
"APR %","APR %"
"Minimium Interest Charge","Minimium Interest Charge"
"Term Length","Term Length"
Months,Months
"Start Date","Start Date"
"Display block from this date, optional","Display block from this date, optional"
"End Date","End Date"
"Stop displaying block after this date, optional","Stop displaying block after this date, optional"
"Advanced Settings","Advanced Settings"
"Module Version","Module Version"
"API Request Timeout","API Request Timeout"
"in seconds","in seconds"
"Digital Buy API","Digital Buy API"
"Production Authentication API Endpoint","Production Authentication API Endpoint"
"Sandbox Authentication API Endpoint","Sandbox Authentication API Endpoint"
"Production Status Inquiry API Endpoint","Production Status Inquiry API Endpoint"
"Sandbox Status Inquiry API Endpoint","Sandbox Status Inquiry API Endpoint"
"Production Capture API Endpoint","Production Capture API Endpoint"
"Sandbox Capture API Endpoint","Sandbox Capture API Endpoint"
"Buy Service API","Buy Service API"
"Production Buyservice API Endpoint","Production Buyservice API Endpoint"
"Sandbox Buyservice API Endpoint","Sandbox Buyservice API Endpoint"
"Buy Service Client Value","Buy Service Client Value"
"Client parameter value to be passed over to Synchrony Buy Service APIs, should be 2 characters long","Client parameter value to be passed over to Synchrony Buy Service APIs, should be 2 characters long"
"Buy Service Partner Code Value","Buy Service Partner Code Value"
"PartnerCode parameter value to be passed over to Synchrony Buy Service APIs","PartnerCode parameter value to be passed over to Synchrony Buy Service APIs"
"Important note: by default maximum of 3 promotions should apply to one order.
                    Having 4 or more promotions apply to one order/cart leads to exception condition and customer won't be able to complete Digital Buy payment.
                    Error email will be sent to failed payment notification recipients specified in checkout configuration.","Important note: by default maximum of 3 promotions should apply to one order.
                    Having 4 or more promotions apply to one order/cart leads to exception condition and customer won't be able to complete Digital Buy payment.
                    Error email will be sent to failed payment notification recipients specified in checkout configuration."
Rule,Rule
Code,Code
Start,Start
End,End
Status,Status
Websites,Websites
Priority,Priority
"Synchrony Promotion","Synchrony Promotion"
Back,Back
"Rule Information","Rule Information"
"Rule Name","Rule Name"
Description,Description
"Customer Groups","Customer Groups"
From,From
To,To
Financing,Financing
